<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GheymatVazniAr,d,20090302,000000,8044.2,8044.2,8044.2,8044.2,19841371
GheymatVazniAr,d,20090303,000000,8024.6,8024.6,8024.6,8024.6,12419336
GheymatVazniAr,d,20090304,000000,8009.3,8009.3,8009.3,8009.3,15601968
GheymatVazniAr,d,20090307,000000,7958.7,7958.7,7958.7,7958.7,15210466
GheymatVazniAr,d,20090308,000000,7936.8,7936.8,7936.8,7936.8,17636516
GheymatVazniAr,d,20090309,000000,7921.8,7921.8,7921.8,7921.8,13959943
GheymatVazniAr,d,20090310,000000,7954.7,7954.7,7954.7,7954.7,21773935
GheymatVazniAr,d,20090311,000000,7951.4,7951.4,7951.4,7951.4,46788897
GheymatVazniAr,d,20090314,000000,7941.7,7941.7,7941.7,7941.7,47035072
GheymatVazniAr,d,20090316,000000,7801,7801,7801,7801,76879174
GheymatVazniAr,d,20090317,000000,7794.4,7794.4,7794.4,7794.4,92197600
GheymatVazniAr,d,20090318,000000,7785.1,7785.1,7785.1,7785.1,81784899
GheymatVazniAr,d,20090325,000000,7784,7784,7784,7784,7790401
GheymatVazniAr,d,20090328,000000,7785.6,7785.6,7785.6,7785.6,10720734
GheymatVazniAr,d,20090329,000000,7775.8,7775.8,7775.8,7775.8,19297175
GheymatVazniAr,d,20090330,000000,7790.3,7790.3,7790.3,7790.3,16397365
GheymatVazniAr,d,20090331,000000,7808.1,7808.1,7808.1,7808.1,30934241
GheymatVazniAr,d,20090404,000000,7820.4,7820.4,7820.4,7820.4,21981048
GheymatVazniAr,d,20090405,000000,7824.8,7824.8,7824.8,7824.8,40664611
GheymatVazniAr,d,20090406,000000,7866.7,7866.7,7866.7,7866.7,29445369
GheymatVazniAr,d,20090407,000000,7894.5,7894.5,7894.5,7894.5,36765089
GheymatVazniAr,d,20090408,000000,7927.4,7927.4,7927.4,7927.4,25668794
GheymatVazniAr,d,20090412,000000,7991.2,7991.2,7991.2,7991.2,50406498
GheymatVazniAr,d,20090413,000000,8018.4,8018.4,8018.4,8018.4,54127994
GheymatVazniAr,d,20090414,000000,8066.4,8066.4,8066.4,8066.4,72280899
GheymatVazniAr,d,20090415,000000,8065.8,8065.8,8065.8,8065.8,38850372
GheymatVazniAr,d,20090418,000000,8077.4,8077.4,8077.4,8077.4,62351673
GheymatVazniAr,d,20090419,000000,8133,8133,8133,8133,70365288
GheymatVazniAr,d,20090420,000000,8214.6,8214.6,8214.6,8214.6,99097447
GheymatVazniAr,d,20090421,000000,8218.1,8218.1,8218.1,8218.1,15999334
GheymatVazniAr,d,20090422,000000,8258.4,8258.4,8258.4,8258.4,38083872
GheymatVazniAr,d,20090425,000000,8251,8251,8251,8251,37483832
GheymatVazniAr,d,20090426,000000,8283.8,8283.8,8283.8,8283.8,53377184
GheymatVazniAr,d,20090427,000000,8297.7,8297.7,8297.7,8297.7,41603002
GheymatVazniAr,d,20090428,000000,8307.3,8307.3,8307.3,8307.3,36042943
GheymatVazniAr,d,20090429,000000,8314.3,8314.3,8314.3,8314.3,30941328
GheymatVazniAr,d,20090502,000000,8327.5,8327.5,8327.5,8327.5,43389599
GheymatVazniAr,d,20090503,000000,8361.1,8361.1,8361.1,8361.1,54247076
GheymatVazniAr,d,20090504,000000,8413.5,8413.5,8413.5,8413.5,36142098
GheymatVazniAr,d,20090505,000000,8472,8472,8472,8472,59491026
GheymatVazniAr,d,20090506,000000,8544.1,8544.1,8544.1,8544.1,47625982
GheymatVazniAr,d,20090509,000000,8639.4,8639.4,8639.4,8639.4,44261375
GheymatVazniAr,d,20090510,000000,8694.2,8694.2,8694.2,8694.2,58568571
GheymatVazniAr,d,20090511,000000,8749.3,8749.3,8749.3,8749.3,210716895
GheymatVazniAr,d,20090512,000000,8727.8,8727.8,8727.8,8727.8,87320339
GheymatVazniAr,d,20090513,000000,8687.6,8687.6,8687.6,8687.6,73303981
GheymatVazniAr,d,20090516,000000,8639.6,8639.6,8639.6,8639.6,73491689
GheymatVazniAr,d,20090517,000000,8667.8,8667.8,8667.8,8667.8,80066439
GheymatVazniAr,d,20090518,000000,8707.5,8707.5,8707.5,8707.5,667921943
GheymatVazniAr,d,20090519,000000,8695.6,8695.6,8695.6,8695.6,189837570
GheymatVazniAr,d,20090520,000000,8735.8,8735.8,8735.8,8735.8,139801358
GheymatVazniAr,d,20090523,000000,8755,8755,8755,8755,50049171
GheymatVazniAr,d,20090524,000000,8732.5,8732.5,8732.5,8732.5,194212716
GheymatVazniAr,d,20090525,000000,8682.8,8682.8,8682.8,8682.8,100280984
GheymatVazniAr,d,20090526,000000,8646,8646,8646,8646,109563502
GheymatVazniAr,d,20090527,000000,8624.1,8624.1,8624.1,8624.1,42740507
GheymatVazniAr,d,20090530,000000,8659.7,8659.7,8659.7,8659.7,60672752
GheymatVazniAr,d,20090531,000000,8655.5,8655.5,8655.5,8655.5,78373723
GheymatVazniAr,d,20090601,000000,8652.4,8652.4,8652.4,8652.4,88243877
GheymatVazniAr,d,20090602,000000,8671.4,8671.4,8671.4,8671.4,57335343
GheymatVazniAr,d,20090603,000000,8711.1,8711.1,8711.1,8711.1,64721822
