<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
price_usd_nerkhapi,d,20120326,000000,19000,19000,19000,19000
price_usd_nerkhapi,d,20120328,000000,19200,19200,19200,19200
price_usd_nerkhapi,d,20120329,000000,19200,19200,19200,19200
price_usd_nerkhapi,d,20120402,000000,19120,19120,19120,19120
price_usd_nerkhapi,d,20120403,000000,19000,19000,19000,19000
price_usd_nerkhapi,d,20120404,000000,18950,18950,18950,18950
price_usd_nerkhapi,d,20120405,000000,19000,19000,19000,19000
price_usd_nerkhapi,d,20120407,000000,19100,19100,19100,19100
price_usd_nerkhapi,d,20120408,000000,19010,19010,19010,19010
price_usd_nerkhapi,d,20120409,000000,19000,19000,19000,19000
price_usd_nerkhapi,d,20120410,000000,18650,18650,18650,18650
price_usd_nerkhapi,d,20120411,000000,18800,18800,18800,18800
price_usd_nerkhapi,d,20120412,000000,18840,18840,18840,18840
price_usd_nerkhapi,d,20120414,000000,18800,18800,18800,18800
price_usd_nerkhapi,d,20120415,000000,17300,17300,17300,17300
price_usd_nerkhapi,d,20120416,000000,17800,17800,17800,17800
price_usd_nerkhapi,d,20120417,000000,18000,18000,18000,18000
price_usd_nerkhapi,d,20120418,000000,18240,18240,18240,18240
price_usd_nerkhapi,d,20120419,000000,18180,18180,18180,18180
price_usd_nerkhapi,d,20120421,000000,18030,18030,18030,18030
price_usd_nerkhapi,d,20120422,000000,17950,17950,17950,17950
price_usd_nerkhapi,d,20120423,000000,17790,17790,17790,17790
price_usd_nerkhapi,d,20120424,000000,17580,17580,17580,17580
price_usd_nerkhapi,d,20120426,000000,17480,17480,17480,17480
price_usd_nerkhapi,d,20120428,000000,16650,16650,16650,16650
price_usd_nerkhapi,d,20120429,000000,17340,17340,17340,17340
price_usd_nerkhapi,d,20120430,000000,17250,17250,17250,17250
price_usd_nerkhapi,d,20120501,000000,17100,17100,17100,17100
price_usd_nerkhapi,d,20120502,000000,17090,17090,17090,17090
price_usd_nerkhapi,d,20120503,000000,17050,17050,17050,17050
price_usd_nerkhapi,d,20120505,000000,16780,16780,16780,16780
price_usd_nerkhapi,d,20120506,000000,16720,16720,16720,16720
price_usd_nerkhapi,d,20120507,000000,16640,16640,16640,16640
price_usd_nerkhapi,d,20120508,000000,16550,16550,16550,16550
price_usd_nerkhapi,d,20120509,000000,16500,16500,16500,16500
price_usd_nerkhapi,d,20120510,000000,16190,16190,16190,16190
price_usd_nerkhapi,d,20120512,000000,15890,15890,15890,15890
price_usd_nerkhapi,d,20120513,000000,15750,15750,15750,15750
